Comparison,Assay,OLINK.ID,Protein.ID,Uniprot.ID,logFC,CI.L,CI.R,AveExpr,P.Value,adj.P.Val
Severe_v_Critical,Neurology,OID00342,SCARF2,Q96GP6,0.29,-0.05,0.63,5.71,0.10,0.21
Severe_v_Critical,Neurology,OID00314,RGMB,Q6NW40,0.27,-0.05,0.60,5.59,0.10,0.21
"Longitudinal_in_Critical",Inflammation,OID00494,OSM,P13725,1.44,0.09,2.78,6.48,0.04,0.21
Mild_v_Critical,Inflammation,OID00499,CD6,P30203,-0.33,-0.77,0.12,6.03,0.14,0.21
Mild_v_Severe,Neurology,OID00369,Dkk-4,Q9UBT3,0.37,-0.13,0.86,3.37,0.14,0.21
Severe_v_Critical,Cardiovascular,OID00391,TNFRSF10A,O00220,0.43,-0.08,0.95,4.23,0.10,0.21
Mild_v_Severe,Cardiovascular,OID00380,ANGPT1,Q15389,0.80,-0.28,1.89,8.34,0.14,0.21
Control_v_Case,Cardiovascular,OID00398,TIE2,Q02763,-0.13,-0.31,0.06,7.36,0.18,0.21
Longitudinal_in_Mild,Inflammation,OID00508,IL-10RA,Q13651,-0.59,-1.03,-0.15,1.11,0.01,0.22
Mild_v_Severe,Inflammation,OID00556,CCL20,P78556,0.60,-0.22,1.42,7.57,0.14,0.22
Mild_v_Severe,Cardiovascular,OID00451,FABP2,P12104,-0.51,-1.20,0.18,7.83,0.14,0.22
Control_v_Critical,Neurology,OID00366,CLM-1,Q8TDQ1,0.49,-0.18,1.17,6.76,0.15,0.22
Control_v_Mild,Neurology,OID00291,GDNF,P39905,0.28,-0.08,0.64,1.89,0.12,0.22
Mild_v_Critical,Neurology,OID00355,PDGF-R-alpha,P16234,0.18,-0.07,0.43,5.52,0.15,0.22
Mild_v_Severe,Inflammation,OID00550,CASP-8,Q14790,0.42,-0.16,1.00,2.83,0.15,0.22
Control_v_Mild,Cardiovascular,OID00444,DCN,P07585,0.24,-0.07,0.55,4.39,0.12,0.22
Control_v_Mild,Cardiovascular,OID00412,RAGE,Q15109,0.38,-0.11,0.87,13.21,0.12,0.22
Control_v_Critical,Cardiovascular,OID00426,KIM1,Q96D42,0.82,-0.31,1.95,8.77,0.15,0.22
Control_v_Mild,Neurology,OID00347,FLRT2,O43155,-0.18,-0.41,0.05,2.33,0.12,0.22
Control_v_Mild,Neurology,OID00362,NAAA,Q02083,-0.41,-0.94,0.12,3.47,0.12,0.22
Mild_v_Critical,Inflammation,OID00558,STAMBP,O95630,0.30,-0.11,0.71,4.67,0.15,0.22
Mild_v_Critical,Neurology,OID00336,SCARA5,Q6ZMJ2,-0.23,-0.55,0.09,8.44,0.15,0.22
Control_v_Critical,Inflammation,OID00560,ADA,P00813,0.51,-0.20,1.21,6.20,0.15,0.22
Mild_v_Critical,Cardiovascular,OID00379,BMP-6,P22004,0.19,-0.07,0.45,4.91,0.15,0.22
Control_v_Critical,Immune,OID00992,CXADR,P78310,0.34,-0.14,0.83,2.52,0.16,0.23
Control_v_Critical,Neurology,OID00364,PLXNB1,O43157,0.32,-0.13,0.78,2.30,0.16,0.23
"Longitudinal_in_Critical",Cardiovascular,OID00408,SCF,P21583,-0.69,-1.35,-0.03,8.41,0.04,0.23
"Longitudinal_in_Critical",Inflammation,OID00487,AXIN1,O15169,0.51,0.02,1.00,2.97,0.04,0.23
Mild_v_Severe,Immune,OID00944,CLEC4G,Q6UXB4,0.31,-0.12,0.73,3.58,0.15,0.23
Longitudinal_in_Mild,Cardiovascular,OID00437,PTX3,P26022,-1.52,-2.67,-0.37,4.46,0.02,0.23
Control_v_Critical,Immune,OID00996,BACH1,O14867,-0.38,-0.91,0.16,2.57,0.16,0.23
Control_v_Critical,Neurology,OID00365,TNFRSF21,O75509,-0.21,-0.50,0.09,8.20,0.16,0.23
Control_v_Mild,Neurology,OID00377,Nr-CAM,Q92823,-0.16,-0.38,0.05,9.59,0.13,0.23
Mild_v_Severe,Cardiovascular,OID00379,BMP-6,P22004,0.26,-0.11,0.62,4.85,0.16,0.23
Control_v_Mild,Immune,OID00941,TPSAB1,Q15661,-0.48,-1.11,0.15,4.67,0.13,0.23
Severe_v_Critical,Immune,OID00992,CXADR,P78310,0.35,-0.08,0.78,2.78,0.11,0.23
Severe_v_Critical,Cardiovascular,OID00466,CD4,P01730,0.24,-0.06,0.53,5.21,0.11,0.23
Control_v_Case,Neurology,OID00288,NRP2,O60462,0.06,-0.03,0.15,8.24,0.19,0.24
Severe_v_Critical,Cardiovascular,OID00463,LEP,P41159,0.78,-0.19,1.74,6.04,0.11,0.24
Severe_v_Critical,Cardiovascular,OID00448,AGRP,O00253,0.36,-0.09,0.80,6.01,0.11,0.24
Severe_v_Critical,Inflammation,OID00547,LIF,P15018,0.34,-0.08,0.76,0.64,0.11,0.24
Control_v_Mild,Cardiovascular,OID00459,CTSL1,P07711,0.30,-0.10,0.69,7.36,0.14,0.24
Severe_v_Critical,Inflammation,OID00477,CD244,Q9BZW8,0.24,-0.06,0.54,5.58,0.11,0.24
Control_v_Severe,Immune,OID00982,PLXNA4,Q9HCM2,-2.78,-5.82,0.27,5.31,0.07,0.24
Control_v_Mild,Neurology,OID00316,CNTN5,O94779,-0.39,-0.92,0.13,4.87,0.14,0.24
Longitudinal_in_Mild,Neurology,OID00371,LAT,O43561,2.33,0.53,4.12,5.08,0.02,0.24
Longitudinal_in_Mild,Immune,OID01021,ITGA11,Q9UKX5,1.53,0.35,2.72,2.86,0.02,0.24
Mild_v_Critical,Cardiovascular,OID00449,HB-EGF,Q99075,0.44,-0.19,1.08,5.92,0.17,0.24
Mild_v_Critical,Inflammation,OID00526,ARTN,Q5T4W7,0.19,-0.08,0.45,1.02,0.17,0.24
Control_v_Mild,Neurology,OID00341,DRAXIN,Q8NBI3,-0.46,-1.07,0.16,3.27,0.14,0.24
Control_v_Mild,Neurology,OID00348,CPM,P14384,-0.15,-0.35,0.05,6.73,0.14,0.24
Control_v_Critical,Cardiovascular,OID00397,PRSS27,Q9BQR3,-0.34,-0.83,0.15,8.74,0.17,0.24
"Longitudinal_in_Critical",Inflammation,OID05124,CD8A,P01732,0.45,0.01,0.90,10.01,0.05,0.24
Control_v_Mild,Inflammation,OID00531,CD5,P06127,-0.36,-0.85,0.13,5.37,0.14,0.24
Control_v_Mild,Cardiovascular,OID00428,TM,P07204,-0.28,-0.65,0.10,9.56,0.14,0.24
Control_v_Mild,Inflammation,OID00477,CD244,Q9BZW8,-0.25,-0.60,0.09,6.01,0.14,0.24
Control_v_Critical,Neurology,OID00310,MSR1,P21757,0.30,-0.14,0.74,6.73,0.17,0.24
Mild_v_Severe,Cardiovascular,OID00449,HB-EGF,Q99075,0.54,-0.24,1.31,5.83,0.17,0.24
Control_v_Critical,Immune,OID00956,DPP10,Q8N608,-0.38,-0.94,0.17,1.56,0.17,0.25
Longitudinal_in_Mild,Inflammation,OID00520,CXCL5,P42830,4.05,0.66,7.44,10.61,0.02,0.25
Longitudinal_in_Mild,Cardiovascular,OID00380,ANGPT1,Q15389,2.70,0.41,4.98,8.00,0.03,0.25
Longitudinal_in_Mild,Cardiovascular,OID00470,HAOX1,Q9UJM8,-2.59,-4.75,-0.42,5.51,0.02,0.25
Longitudinal_in_Mild,Immune,OID01011,DAPP1,Q9UN19,2.25,0.42,4.08,3.16,0.02,0.25
Longitudinal_in_Mild,Inflammation,OID05124,CD8A,P01732,-2.11,-3.89,-0.33,10.30,0.03,0.25
Longitudinal_in_Mild,Cardiovascular,OID00418,FS,P19883,-1.98,-3.59,-0.37,10.80,0.02,0.25
Longitudinal_in_Mild,Neurology,OID00340,G-CSF,P09919,-1.70,-3.03,-0.36,3.08,0.02,0.25
Longitudinal_in_Mild,Immune,OID00978,PTH1R,Q03431,1.31,0.21,2.41,4.22,0.03,0.25
Longitudinal_in_Mild,Inflammation,OID00471,IL8,P10145,0.89,0.15,1.63,4.79,0.02,0.25
Longitudinal_in_Mild,Immune,OID01025,CD83,Q01151,0.66,0.11,1.22,3.00,0.02,0.25
Longitudinal_in_Mild,Cardiovascular,OID00457,ACE2,Q9BYF1,0.45,0.08,0.83,3.22,0.02,0.25
Control_v_Critical,Cardiovascular,OID00442,IgG Fc receptor II-b,P31994,0.56,-0.26,1.39,3.17,0.18,0.25
Longitudinal_in_Mild,Cardiovascular,OID00443,ITGB1BP2,Q9UKP3,2.29,0.33,4.24,3.41,0.03,0.25
Mild_v_Critical,Immune,OID00977,CD28,P10747,-0.23,-0.57,0.11,1.69,0.17,0.25
Severe_v_Critical,Cardiovascular,OID00469,PARP-1,P09874,0.67,-0.18,1.52,5.85,0.12,0.25
Severe_v_Critical,Immune,OID00955,PRDX5,P30044,0.55,-0.15,1.25,5.11,0.12,0.25
Mild_v_Critical,Cardiovascular,OID00456,MMP12,P39900,-0.35,-0.86,0.16,6.71,0.18,0.25
Mild_v_Severe,Inflammation,OID00551,CCL25,O15444,-0.36,-0.88,0.16,6.22,0.17,0.25
Mild_v_Severe,Inflammation,OID05547,IFN-gamma,P01579,0.78,-0.36,1.91,7.72,0.17,0.25
"Longitudinal_in_Critical",Inflammation,OID00486,CXCL11,O14625,0.76,0.00,1.53,10.44,0.05,0.25
"Longitudinal_in_Critical",Cardiovascular,OID00441,MMP7,P09237,-0.53,-1.06,0.00,9.78,0.05,0.25
Control_v_Critical,Inflammation,OID00481,uPA,P00749,0.28,-0.13,0.69,9.90,0.18,0.25
Control_v_Mild,Neurology,OID00325,BCAN,Q96GW7,-0.32,-0.75,0.12,4.37,0.15,0.25
Control_v_Mild,Inflammation,OID01213,DNER,Q8NFT8,-0.23,-0.55,0.09,8.67,0.15,0.25
Control_v_Mild,Inflammation,OID00503,TGF-alpha,P01135,0.23,-0.09,0.55,2.72,0.15,0.25
Control_v_Critical,Inflammation,OID00510,MMP-1,P03956,-0.72,-1.78,0.35,14.95,0.18,0.25
Mild_v_Critical,Cardiovascular,OID00420,CD84,Q9UIB8,0.19,-0.09,0.46,4.63,0.18,0.25
Control_v_Case,Neurology,OID00292,UNC5C,O95185,-0.15,-0.38,0.09,4.52,0.21,0.26
Mild_v_Severe,Inflammation,OID00507,FGF-23,Q9GZV9,0.21,-0.10,0.51,1.94,0.18,0.26
Severe_v_Critical,Inflammation,OID00542,CD40,P25942,0.41,-0.12,0.95,11.82,0.12,0.26
Severe_v_Critical,Inflammation,OID00534,CXCL6,P80162,0.41,-0.12,0.95,8.49,0.12,0.26
Mild_v_Critical,Immune,OID00943,CNTNAP2,Q9UHC6,-0.20,-0.50,0.10,1.33,0.18,0.26
Mild_v_Critical,Cardiovascular,OID00413,SOD2,P04179,0.05,-0.02,0.12,10.11,0.18,0.26
"Longitudinal_in_Critical",Cardiovascular,OID00405,LOX-1,P78380,1.28,-0.02,2.59,7.98,0.05,0.26
"Longitudinal_in_Critical",Immune,OID00978,PTH1R,Q03431,-0.40,-0.81,0.01,3.83,0.05,0.26
Control_v_Critical,Cardiovascular,OID00461,TNFRSF13B,O14836,0.34,-0.17,0.86,9.93,0.19,0.26
Control_v_Severe,Inflammation,OID05547,IFN-gamma,P01579,2.74,-0.35,5.83,7.50,0.08,0.26
"Longitudinal_in_Critical",Neurology,OID00321,RSPO1,Q2MKA7,0.86,-0.02,1.75,3.15,0.05,0.26
Control_v_Critical,Inflammation,OID00506,TNFSF14,O43557,0.48,-0.24,1.19,6.13,0.19,0.26
Control_v_Critical,Inflammation,OID00542,CD40,P25942,-0.43,-1.09,0.22,11.87,0.19,0.26
Control_v_Mild,Cardiovascular,OID00453,MARCO,Q9UEW3,0.19,-0.08,0.45,6.87,0.16,0.26
Control_v_Case,Neurology,OID00332,CDH3,P22223,-0.16,-0.42,0.10,7.26,0.22,0.26
Control_v_Critical,Immune,OID00991,TREM1,Q9NP99,0.38,-0.20,0.97,2.75,0.19,0.26
Control_v_Severe,Immune,OID01001,FAM3B,P58499,1.35,-0.18,2.87,4.68,0.08,0.26
Mild_v_Critical,Immune,OID01001,FAM3B,P58499,-0.27,-0.69,0.14,4.62,0.19,0.27
Control_v_Mild,Neurology,OID00310,MSR1,P21757,0.42,-0.17,1.00,6.49,0.16,0.27
Longitudinal_in_Mild,Cardiovascular,OID00435,SORT1,Q99523,0.69,0.08,1.30,8.49,0.03,0.27
Longitudinal_in_Mild,Neurology,OID00299,EFNA4,P52798,-0.38,-0.71,-0.05,2.89,0.03,0.27
Longitudinal_in_Mild,Cardiovascular,OID00410,FGF-21,Q9NSA1,-2.47,-4.71,-0.23,6.74,0.03,0.27
Longitudinal_in_Mild,Inflammation,OID00478,IL7,P13232,-2.16,-4.10,-0.22,2.07,0.03,0.27
Longitudinal_in_Mild,Inflammation,OID00533,Flt3L,P49771,0.73,0.07,1.39,9.21,0.03,0.27
Longitudinal_in_Mild,Neurology,OID00373,LAIR-2,Q6ISS4,-0.56,-1.06,-0.06,5.07,0.03,0.27
Longitudinal_in_Mild,Cardiovascular,OID00403,IL-17D,Q8TAD2,0.39,0.04,0.73,2.34,0.03,0.27
Control_v_Severe,Neurology,OID00317,ADAM 22,Q9P0K1,-0.91,-1.94,0.13,4.29,0.08,0.27
Severe_v_Critical,Immune,OID01017,CLEC6A,Q6EIG7,0.32,-0.10,0.75,3.19,0.13,0.27
Longitudinal_in_Mild,Cardiovascular,OID00388,SRC,P12931,2.06,0.15,3.98,6.26,0.04,0.27
Longitudinal_in_Mild,Immune,OID00946,EDAR,Q9UNE0,1.79,0.16,3.42,2.23,0.04,0.27
Longitudinal_in_Mild,Cardiovascular,OID00393,IDUA,P35475,-1.27,-2.48,-0.07,5.77,0.04,0.27
Longitudinal_in_Mild,Immune,OID00958,DCTN1,Q14203,1.03,0.06,2.00,3.19,0.04,0.27
Longitudinal_in_Mild,Neurology,OID00294,Siglec-9,Q9Y336,-0.57,-1.09,-0.04,4.99,0.04,0.27
Longitudinal_in_Mild,Neurology,OID00372,NTRK3,Q16288,0.52,0.03,1.02,7.38,0.04,0.27
Longitudinal_in_Mild,Cardiovascular,OID00436,CEACAM8,P31997,0.40,0.03,0.77,3.99,0.04,0.27
Longitudinal_in_Mild,Cardiovascular,OID00411,PIgR,P01833,0.37,0.02,0.71,5.75,0.04,0.27
Mild_v_Critical,Cardiovascular,OID00400,IL1RL2,Q9HB29,-0.19,-0.48,0.10,4.44,0.19,0.27
Longitudinal_in_Mild,Cardiovascular,OID00401,PDGF subunit B,P01127,2.55,0.10,5.00,9.37,0.04,0.27
Longitudinal_in_Mild,Inflammation,OID00479,OPG,O00300,0.58,0.02,1.14,10.14,0.04,0.27
Longitudinal_in_Mild,Inflammation,OID00552,CX3CL1,P78423,0.36,0.02,0.70,4.40,0.04,0.27
Control_v_Severe,Immune,OID00979,BIRC2,Q13490,-1.51,-3.25,0.22,1.78,0.09,0.27
Control_v_Severe,Cardiovascular,OID00438,PSGL-1,Q14242,-0.72,-1.55,0.11,4.61,0.09,0.27
Severe_v_Critical,Neurology,OID00332,CDH3,P22223,0.38,-0.12,0.87,7.28,0.13,0.27
Control_v_Critical,Neurology,OID00298,NBL1,P41271,-0.08,-0.19,0.04,4.99,0.20,0.27
Mild_v_Severe,Inflammation,OID00520,CXCL5,P42830,0.91,-0.47,2.29,10.24,0.19,0.27
"Longitudinal_in_Critical",Neurology,OID00371,LAT,O43561,1.21,-0.08,2.51,6.64,0.06,0.27
"Longitudinal_in_Critical",Inflammation,OID00491,CST5,P28325,0.84,-0.05,1.73,6.39,0.06,0.27
"Longitudinal_in_Critical",Cardiovascular,OID00421,PAPPA,Q13219,0.72,-0.04,1.49,2.89,0.06,0.27
"Longitudinal_in_Critical",Inflammation,OID00506,TNFSF14,O43557,0.64,-0.03,1.31,6.39,0.06,0.27
"Longitudinal_in_Critical",Immune,OID00961,GALNT3,Q14435,-0.52,-1.07,0.03,3.89,0.06,0.27
"Longitudinal_in_Critical",Neurology,OID00332,CDH3,P22223,0.48,-0.03,0.99,7.35,0.06,0.27
"Longitudinal_in_Critical",Immune,OID00996,BACH1,O14867,-0.45,-0.93,0.03,2.20,0.06,0.27
"Longitudinal_in_Critical",Neurology,OID00317,ADAM 22,Q9P0K1,0.32,-0.01,0.66,3.92,0.06,0.27
Severe_v_Critical,Immune,OID00968,ITM2A,O43736,0.91,-0.30,2.13,2.38,0.13,0.27
Severe_v_Critical,Neurology,OID00361,N-CDase,Q9NR71,0.44,-0.15,1.03,3.23,0.14,0.27
Severe_v_Critical,Cardiovascular,OID00468,VEGFD,O43915,-0.30,-0.70,0.10,7.52,0.14,0.27
Severe_v_Critical,Immune,OID00973,NFATC3,Q12968,0.29,-0.10,0.67,1.31,0.14,0.27
Severe_v_Critical,Cardiovascular,OID00437,PTX3,P26022,0.27,-0.09,0.63,5.44,0.14,0.27
Severe_v_Critical,Neurology,OID00291,GDNF,P39905,0.27,-0.09,0.62,2.16,0.14,0.27
Control_v_Severe,Immune,OID01004,DFFA,O00273,-2.33,-5.02,0.36,6.63,0.09,0.27
Control_v_Mild,Cardiovascular,OID00403,IL-17D,Q8TAD2,-0.19,-0.46,0.08,2.48,0.16,0.27
Control_v_Mild,Neurology,OID00370,EDA2R,Q9HAV5,-0.26,-0.63,0.11,4.29,0.17,0.27
Control_v_Mild,Inflammation,OID00551,CCL25,O15444,0.47,-0.20,1.15,6.24,0.17,0.27
Severe_v_Critical,Immune,OID01007,NCR1,O76036,0.27,-0.09,0.62,3.77,0.14,0.27
Control_v_Case,Immune,OID00980,HSD11B1,P28845,-0.19,-0.51,0.12,3.05,0.23,0.27
"Longitudinal_in_Critical",Immune,OID00987,HEXIM1,O94992,-0.53,-1.09,0.04,5.95,0.06,0.27
Control_v_Mild,Inflammation,OID00472,VEGFA,P15692,-0.42,-1.02,0.19,11.10,0.17,0.28
Control_v_Mild,Neurology,OID00343,GDNFR-alpha-3,O60609,-0.28,-0.68,0.12,5.06,0.17,0.28
Control_v_Mild,Immune,OID00980,HSD11B1,P28845,0.25,-0.11,0.61,3.17,0.17,0.28
Severe_v_Critical,Neurology,OID00321,RSPO1,Q2MKA7,0.47,-0.16,1.10,3.38,0.14,0.28
Control_v_Critical,Inflammation,OID00509,FGF-5,P12034,-0.19,-0.49,0.11,1.06,0.20,0.28
Control_v_Critical,Cardiovascular,OID00398,TIE2,Q02763,-0.17,-0.43,0.09,7.40,0.20,0.28
Severe_v_Critical,Immune,OID00936,PPP1R9B,Q96SB3,0.37,-0.13,0.88,1.91,0.14,0.28
Control_v_Severe,Inflammation,OID00488,TRAIL,P50591,0.87,-0.14,1.88,7.52,0.09,0.28
Mild_v_Critical,Neurology,OID00361,N-CDase,Q9NR71,0.36,-0.20,0.91,3.47,0.20,0.28
Mild_v_Critical,Cardiovascular,OID00398,TIE2,Q02763,0.11,-0.06,0.27,7.38,0.20,0.28
"Longitudinal_in_Critical",Inflammation,OID00547,LIF,P15018,0.67,-0.06,1.39,0.69,0.07,0.28
"Longitudinal_in_Critical",Neurology,OID00308,CD38,P28907,0.23,-0.02,0.48,6.61,0.07,0.28
Longitudinal_in_Mild,Inflammation,OID00482,IL6,P05231,-1.59,-3.15,-0.03,2.69,0.05,0.28
Longitudinal_in_Mild,Neurology,OID00315,SIGLEC1,Q9BZZ2,-1.38,-2.73,-0.03,6.69,0.05,0.28
Control_v_Mild,Immune,OID00977,CD28,P10747,0.29,-0.13,0.72,1.77,0.17,0.28
Control_v_Severe,Inflammation,OID00500,SCF,P21583,-1.86,-4.03,0.32,8.96,0.09,0.28
Mild_v_Severe,Cardiovascular,OID00427,THBS2,P35442,0.10,-0.05,0.25,5.58,0.19,0.28
Mild_v_Critical,Neurology,OID00314,RGMB,Q6NW40,-0.22,-0.57,0.12,5.75,0.20,0.28
Longitudinal_in_Mild,Cardiovascular,OID00439,CCL17,Q92583,2.00,0.02,3.98,8.38,0.05,0.28
Longitudinal_in_Mild,Cardiovascular,OID00428,TM,P07204,1.57,0.02,3.12,9.59,0.05,0.28
Longitudinal_in_Mild,Immune,OID01008,CXCL12,P48061,-0.33,-0.65,0.00,1.30,0.05,0.28
Control_v_Mild,Immune,OID00944,CLEC4G,Q6UXB4,0.32,-0.15,0.80,3.42,0.18,0.28
Control_v_Case,Cardiovascular,OID00434,IL16,Q14005,0.29,-0.20,0.78,6.84,0.24,0.28
Mild_v_Critical,Immune,OID00978,PTH1R,Q03431,-0.19,-0.49,0.11,4.00,0.21,0.28
Mild_v_Severe,Immune,OID00969,HNMT,P50135,0.32,-0.18,0.81,9.11,0.20,0.29
Mild_v_Critical,Inflammation,OID00554,NT-3,P20783,-0.19,-0.50,0.11,1.91,0.21,0.29
"Longitudinal_in_Critical",Cardiovascular,OID00426,KIM1,Q96D42,1.14,-0.13,2.40,8.99,0.07,0.29
"Longitudinal_in_Critical",Inflammation,OID00545,FGF-19,O95750,-0.77,-1.63,0.08,8.74,0.07,0.29
"Longitudinal_in_Critical",Neurology,OID00334,GM-CSF-R-alpha,P15509,0.73,-0.08,1.54,5.70,0.07,0.29
"Longitudinal_in_Critical",Cardiovascular,OID00468,VEGFD,O43915,-0.39,-0.83,0.05,7.57,0.07,0.29
"Longitudinal_in_Critical",Inflammation,OID00485,IL-17A,Q16552,0.32,-0.04,0.68,1.42,0.07,0.29
"Longitudinal_in_Critical",Cardiovascular,OID00385,ADAM-TS13,Q76LX8,-0.21,-0.45,0.03,4.92,0.07,0.29
"Longitudinal_in_Critical",Cardiovascular,OID00402,IL-27,"Q8NEV9,Q14213",-0.35,-0.74,0.04,6.95,0.07,0.29
Mild_v_Critical,Immune,OID01005,DCBLD2,Q96PD2,-0.17,-0.44,0.10,7.93,0.21,0.29
Control_v_Mild,Inflammation,OID00491,CST5,P28325,-0.31,-0.77,0.15,6.60,0.18,0.29
Control_v_Mild,Inflammation,OID00481,uPA,P00749,0.24,-0.11,0.59,9.69,0.18,0.29
Control_v_Mild,Inflammation,OID00521,TRANCE,O14788,-0.47,-1.16,0.23,4.66,0.18,0.29
Longitudinal_in_Mild,Immune,OID00977,CD28,P10747,3.15,-0.11,6.40,2.31,0.06,0.29
Longitudinal_in_Mild,Neurology,OID00328,GDF-8,O14793,2.90,-0.03,5.84,3.58,0.05,0.29
Longitudinal_in_Mild,Cardiovascular,OID00445,Dkk-1,O94907,1.64,-0.06,3.35,8.15,0.06,0.29
Longitudinal_in_Mild,Cardiovascular,OID00390,IL6,P05231,-1.53,-3.13,0.07,3.53,0.06,0.29
Longitudinal_in_Mild,Neurology,OID00350,GCP5,P78333,1.10,-0.02,2.23,4.88,0.05,0.29
Longitudinal_in_Mild,Immune,OID00960,CDSN,Q15517,1.08,-0.06,2.21,2.77,0.06,0.29
Longitudinal_in_Mild,Immune,OID00938,PSIP1,O75475,-0.88,-1.80,0.04,2.60,0.06,0.29
Longitudinal_in_Mild,Immune,OID00950,IRAK1,P51617,0.75,-0.02,1.52,1.88,0.05,0.29
Longitudinal_in_Mild,Neurology,OID00304,CRTAM,O95727,-0.72,-1.48,0.04,5.48,0.06,0.29
Longitudinal_in_Mild,Immune,OID00956,DPP10,Q8N608,0.66,-0.01,1.34,1.44,0.05,0.29
Longitudinal_in_Mild,Cardiovascular,OID00395,PAR-1,P25116,0.62,-0.03,1.27,8.71,0.06,0.29
Longitudinal_in_Mild,Neurology,OID00367,SPOCK1,Q08629,-0.55,-1.14,0.03,2.58,0.06,0.29
Longitudinal_in_Mild,Inflammation,OID00509,FGF-5,P12034,0.39,-0.01,0.78,1.10,0.06,0.29
Mild_v_Critical,Immune,OID00958,DCTN1,Q14203,0.37,-0.22,0.95,3.35,0.21,0.29
Mild_v_Severe,Immune,OID00958,DCTN1,Q14203,0.37,-0.21,0.95,3.01,0.20,0.29
Control_v_Case,Inflammation,OID00506,TNFSF14,O43557,0.34,-0.24,0.93,5.55,0.24,0.29
Severe_v_Critical,Cardiovascular,OID00414,CTRC,Q99895,-0.53,-1.26,0.20,9.41,0.15,0.29
Mild_v_Severe,Neurology,OID00332,CDH3,P22223,-0.20,-0.53,0.12,7.23,0.20,0.29
Severe_v_Critical,Neurology,OID00367,SPOCK1,Q08629,0.18,-0.07,0.43,2.65,0.15,0.29
Control_v_Mild,Cardiovascular,OID00393,IDUA,P35475,-0.30,-0.74,0.15,5.77,0.19,0.29
Control_v_Mild,Cardiovascular,OID00400,IL1RL2,Q9HB29,0.26,-0.13,0.65,4.43,0.19,0.29
"Longitudinal_in_Critical",Inflammation,OID00532,CCL3,P10147,1.05,-0.15,2.26,7.11,0.08,0.29
"Longitudinal_in_Critical",Inflammation,OID00476,CDCP1,Q9H5V8,0.72,-0.10,1.55,4.11,0.08,0.29
"Longitudinal_in_Critical",Neurology,OID00312,sFRP-3,Q92765,0.27,-0.04,0.59,5.71,0.08,0.29
Control_v_Mild,Inflammation,OID00490,CXCL9,Q07325,0.64,-0.32,1.61,7.24,0.19,0.29
Longitudinal_in_Mild,Neurology,OID00362,NAAA,Q02083,-1.25,-2.58,0.09,3.33,0.06,0.29
Longitudinal_in_Mild,Cardiovascular,OID00446,LPL,P06858,0.86,-0.07,1.78,10.01,0.07,0.29
Longitudinal_in_Mild,Cardiovascular,OID00456,MMP12,P39900,0.85,-0.06,1.76,7.04,0.06,0.29
Longitudinal_in_Mild,Inflammation,OID00522,HGF,P14210,0.61,-0.05,1.26,8.19,0.06,0.29
Severe_v_Critical,Immune,OID00978,PTH1R,Q03431,0.23,-0.09,0.55,3.84,0.15,0.29
Mild_v_Critical,Inflammation,OID00485,IL-17A,Q16552,0.30,-0.19,0.79,1.56,0.22,0.30
Control_v_Mild,Cardiovascular,OID00440,CCL3,P10147,-0.50,-1.27,0.26,6.37,0.19,0.30
Control_v_Mild,Immune,OID00971,MILR1,Q7Z6M3,0.30,-0.16,0.76,2.98,0.19,0.30
Control_v_Mild,Neurology,OID00329,THY 1,P04216,-0.21,-0.53,0.11,9.96,0.19,0.30
"Longitudinal_in_Critical",Neurology,OID00301,NCAN,O14594,-0.30,-0.66,0.05,8.47,0.08,0.30
Mild_v_Critical,Cardiovascular,OID00415,FGF-23,Q9GZV9,0.32,-0.20,0.85,2.97,0.22,0.30
Mild_v_Severe,Neurology,OID00374,MANF,P55145,0.80,-0.48,2.08,6.98,0.21,0.30
"Longitudinal_in_Critical",Inflammation,OID00509,FGF-5,P12034,0.24,-0.04,0.52,0.84,0.08,0.30
Control_v_Severe,Immune,OID00999,STC1,P52823,1.50,-0.31,3.32,5.91,0.10,0.30
Control_v_Severe,Immune,OID00992,CXADR,P78310,-1.37,-3.02,0.28,2.30,0.10,0.30
Control_v_Case,Immune,OID01007,NCR1,O76036,0.16,-0.12,0.44,3.53,0.26,0.30
"Longitudinal_in_Critical",Cardiovascular,OID00414,CTRC,Q99895,-0.30,-0.66,0.05,9.26,0.08,0.30
Control_v_Case,Immune,OID01016,CLEC7A,Q9BXN2,0.20,-0.15,0.55,3.23,0.26,0.31
Control_v_Mild,Inflammation,OID00515,IL-10RB,Q08334,-0.26,-0.67,0.14,6.14,0.20,0.31
Control_v_Severe,Neurology,OID00343,GDNFR-alpha-3,O60609,-0.95,-2.09,0.20,4.89,0.10,0.31
Mild_v_Critical,Neurology,OID00306,PLXNB3,Q9ULL4,0.23,-0.15,0.61,3.95,0.23,0.31
Severe_v_Critical,Cardiovascular,OID00412,RAGE,Q15109,0.25,-0.11,0.61,14.26,0.16,0.31
Control_v_Mild,Cardiovascular,OID00462,TGM2,P21980,-0.41,-1.05,0.23,8.25,0.20,0.31
Control_v_Mild,Inflammation,OID00483,IL-17C,Q9P0M4,0.44,-0.25,1.13,2.27,0.21,0.31
Control_v_Mild,Cardiovascular,OID00447,PRSS8,Q16651,-0.20,-0.52,0.12,8.87,0.21,0.31
Mild_v_Severe,Immune,OID00961,GALNT3,Q14435,-0.29,-0.78,0.19,2.96,0.22,0.31
